zipcode,solar_radiation
00501,3.89
00544,3.89
01001,3.65
01002,3.61
01003,3.54
01004,3.54
01005,3.81
01007,3.63
01008,3.79
01009,3.67
01010,3.74
01011,3.82
01012,3.74
01013,3.69
01014,3.69
01020,3.69
01021,3.69
01022,3.69
01026,3.74
01027,3.78
01028,3.71
01029,3.83
01030,3.65
01031,3.7
01032,3.79
01033,3.62
01034,3.83
01035,3.54
01036,3.68
01037,3.54
01038,3.72
01039,3.76
01040,3.68
01041,3.68
01050,3.85
01053,3.83
01054,3.75
01056,3.69
01057,3.81
01059,3.57
01060,3.72
01061,3.72
01062,3.72
01063,3.72
01066,3.76
01068,3.78
01069,3.71
01070,3.77
01071,3.77
01072,3.75
01073,3.78
01074,3.78
01075,3.62
01077,3.69
01079,3.67
01080,3.71
01081,3.75
01082,3.67
01083,3.74
01084,3.74
01085,3.68
01086,3.68
01088,3.72
01089,3.69
01090,3.69
01092,3.67
01093,3.76
01094,3.7
01095,3.69
01096,3.85
01097,3.77
01098,3.67
01101,3.69
01102,3.69
01103,3.69
01104,3.69
01105,error
01106,3.71
01107,3.69
01108,3.71
01109,3.69
01111,3.69
01115,3.69
01116,3.71
01118,3.71
01119,3.69
01128,3.68
01129,3.69
01138,3.69
01139,3.69
01144,3.69
01151,3.69
01152,3.69
01199,3.69
01201,3.57
01202,3.57
01203,3.57
01220,3.49
01222,3.67
01223,3.74
01224,3.58
01225,3.58
01226,3.54
01227,3.54
01229,3.65
01230,3.67
01235,3.68
01236,3.65
01237,3.57
01238,3.66
01240,3.62
01242,3.62
01243,3.67
01244,3.69
01245,3.69
01247,3.6
01252,3.71
01253,3.83
01254,3.64
01255,3.82
01256,3.69
01257,3.67
01258,3.71
01259,3.7
01260,3.66
01262,3.65
01263,3.64
01264,3.66
01266,3.64
01267,3.53
01270,3.69
01301,3.66
01302,3.71
01330,3.73
01331,3.78
01337,3.61
01338,3.73
01339,3.77
01340,3.77
01341,3.78
01342,3.71
01343,3.7
01344,3.52
01346,3.77
01347,3.57
01349,3.77
01350,3.68
01351,3.57
01354,3.61
01355,3.74
01360,3.52
01364,3.7
01366,3.69
01367,3.7
01368,3.79
01370,3.77
01373,3.76
01375,3.57
01376,3.57
01378,3.74
01379,3.77
01380,3.76
01420,3.86
01430,3.88
01431,3.9
01432,3.74
01434,3.75
01436,3.83
01438,3.84
01440,3.82
01441,3.82
01450,3.84
01451,3.74
01452,3.79
01453,3.81
01460,3.8
01462,3.81
01463,3.86
01464,3.75
01467,3.76
01468,3.84
01469,3.86
01470,3.84
01471,3.84
01472,3.86
01473,3.82
01474,3.86
01475,3.83
01501,3.79
01503,3.78
01504,3.78
01505,3.77
01506,3.75
01507,3.8
01508,3.8
01509,3.8
01510,3.76
01515,3.75
01516,3.73
01518,3.75
01519,3.77
01520,3.82
01521,3.8
01522,3.82
01523,3.76
01524,3.81
01525,3.81
01526,3.73
01527,3.77
01529,3.78
01531,3.7
01532,3.78
01534,3.79
01535,3.75
01536,3.77
01537,3.81
01538,3.81
01540,3.81
01541,3.89
01542,3.81
01543,3.8
01545,3.81
01546,3.81
01550,3.83
01560,3.79
01561,3.76
01562,3.81
01564,3.8
01566,3.82
01568,3.79
01569,3.81
01570,3.7
01571,3.73
01581,3.77
01583,3.77
01585,3.74
01586,3.77
01588,3.79
01590,3.77
01601,3.79
01602,3.79
01603,3.79
01604,3.81
01605,3.81
01606,3.77
01607,3.81
01608,3.79
01609,3.79
01610,3.79
01611,3.79
01612,3.8
01613,3.81
01614,3.79
01615,3.79
01653,3.79
01655,3.81
01701,3.79
01702,3.76
01703,3.76
01704,3.76
01705,3.76
01718,3.8
01719,3.79
01720,3.79
01721,3.76
01730,3.75
01731,3.75
01740,3.76
01741,3.8
01742,3.78
01745,3.79
01746,3.76
01747,3.78
01748,3.79
01749,3.8
01752,3.8
01754,3.79
01756,3.78
01757,3.78
01760,3.76
01770,3.76
01772,3.79
01773,3.78
01775,3.79
01776,3.79
01778,3.73
01784,3.79
01801,3.79
01803,3.81
01805,3.75
01810,3.87
01812,3.87
01813,3.79
01815,3.79
01821,3.81
01822,3.81
01824,3.8
01826,3.82
01827,3.85
01830,3.86
01831,3.86
01832,3.91
01833,3.88
01834,3.86
01835,3.86
01840,3.91
01841,3.91
01842,3.91
01843,3.87
01844,3.91
01845,3.79
01850,3.82
01851,3.82
01852,3.81
01853,3.82
01854,3.82
01860,3.94
01862,3.81
01863,3.82
01864,3.77
01865,3.81
01866,3.81
01867,3.87
01876,3.81
01879,3.85
01880,3.77
01885,3.86
01886,3.8
01887,3.87
01888,3.79
01889,3.77
01890,3.79
01899,3.87
01901,3.7
01902,3.7
01903,3.7
01904,3.7
01905,3.7
01906,3.78
01907,3.7
01908,3.7
01910,3.7
01913,3.91
01915,3.69
01921,3.79
01922,3.88
01923,3.74
01929,3.7
01930,3.67
01931,3.67
01936,3.8
01937,3.74
01938,3.8
01940,3.77
01944,3.68
01945,3.72
01949,3.77
01950,3.95
01951,3.93
01952,3.95
01960,3.74
01961,3.74
01965,3.69
01966,3.67
01969,3.88
01970,3.74
01971,3.69
01982,3.8
01983,3.83
01984,3.69
01985,3.88
02018,3.54
02019,3.79
02020,3.74
02021,3.82
02025,3.54
02026,3.8
02027,3.82
02030,3.82
02032,3.8
02035,3.78
02038,3.79
02040,3.65
02041,3.74
02043,3.54
02044,3.54
02045,3.54
02047,3.66
02048,3.78
02050,3.76
02051,3.76
02052,3.78
02053,3.77
02054,3.78
02055,3.65
02056,3.78
02059,3.76
02060,3.65
02061,3.73
02062,3.8
02065,3.74
02066,3.65
02067,3.82
02070,3.8
02071,3.8
02072,3.82
02081,3.8
02090,3.82
02093,3.8
02108,3.79
02109,3.79
02110,3.79
02111,3.79
02112,3.79
02113,3.79
02114,3.79
02115,3.79
02116,3.79
02117,3.79
02118,3.79
02119,3.79
02120,3.79
02121,3.79
02122,3.85
02123,3.79
02124,3.85
02125,3.79
02126,3.85
02127,3.79
02128,3.79
02129,3.79
02130,3.69
02131,3.8
02132,3.8
02133,3.79
02134,3.69
02135,3.69
02136,3.8
02137,3.8
02138,3.69
02139,3.69
02140,3.69
02141,3.79
02142,3.79
02143,3.79
02144,3.79
02145,3.79
02148,3.78
02149,3.78
02150,3.79
02151,3.78
02152,3.86
02153,3.79
02155,3.79
02156,3.79
02163,3.69
02169,3.85
02170,3.85
02171,3.85
02176,3.78
02180,3.78
02184,3.85
02185,3.85
02186,3.85
02187,3.85
02188,3.65
02189,3.65
02190,3.68
02191,3.65
02196,3.79
02199,3.79
02201,3.79
02203,3.79
02204,3.79
02205,3.79
02206,3.79
02210,3.79
02211,3.79
02212,3.79
02215,3.69
02217,3.79
02222,3.79
02238,3.69
02241,3.79
02266,3.79
02269,3.85
02283,3.79
02284,3.79
02293,3.79
02297,3.79
02298,3.79
02301,3.82
02302,3.82
02303,3.82
02304,3.82
02305,3.82
02322,3.81
02324,3.83
02325,3.83
02327,3.78
02330,3.78
02331,3.74
02332,3.82
02333,3.8
02334,3.82
02337,3.8
02338,3.81
02339,3.73
02340,3.73
02341,3.78
02343,3.81
02344,3.81
02345,3.66
02346,3.81
02347,3.81
02348,3.81
02349,3.81
02350,3.78
02351,3.68
02355,3.85
02356,3.82
02357,3.82
02358,3.82
02359,3.78
02360,3.76
02361,3.72
02362,3.72
02364,3.85
02366,3.78
02367,3.81
02368,3.81
02370,3.68
02375,3.82
02379,3.82
02381,3.66
02382,3.8
02420,3.75
02421,3.75
02445,3.69
02446,3.69
02447,3.69
02451,3.83
02452,3.83
02453,3.83
02454,3.83
02455,3.83
02456,3.83
02457,3.83
02458,3.69
02459,3.69
02460,3.83
02461,3.83
02462,3.83
02464,3.83
02465,3.83
02466,3.83
02467,3.69
02468,3.83
02471,3.69
02472,3.69
02474,3.79
02475,3.79
02476,3.79
02477,3.69
02478,3.69
02479,3.69
02481,3.83
02482,3.76
02492,3.82
02493,3.83
02494,3.82
02495,3.83
02532,3.83
02534,3.73
02535,3.75
02536,3.8
02537,3.69
02538,3.78
02539,3.64
02540,3.76
02541,3.76
02542,3.78
02543,3.76
02552,3.75
02553,3.78
02554,3.55
02556,3.73
02557,3.74
02558,3.78
02559,3.73
02561,3.83
02562,3.83
